state,state_code,year,race,race_code,hispanic_origin,hispanic_origin_code,total_births,births_by_race,total_deaths,deaths_by_race,total_mmr,mmr_by_race,total_population,population_by_race
Illinois,17,2017,White,2106-3,Not Hispanic or Latino,2186-2,149390,79784,39,14,26.11,17.55,6509545,4040793
Illinois,17,2018,White,2106-3,Not Hispanic or Latino,2186-2,144815,78102,22,13,15.19,16.64,6480179,4002831
Illinois,17,2019,White,2106-3,Not Hispanic or Latino,2186-2,140128,75290,20,12,14.27,15.94,6445263,3966684
Indiana,18,2009,White,2106-3,Not Hispanic or Latino,2186-2,86673,66325,16,12,18.46,18.09,3281477,2718402
Indiana,18,2011,White,2106-3,Not Hispanic or Latino,2186-2,83701,64482,43,34,51.37,52.73,3309937,0
Indiana,18,2012,White,2106-3,Not Hispanic or Latino,2186-2,83227,63801,36,30,43.26,47.02,3319144,2719519
Indiana,18,2013,White,2106-3,Not Hispanic or Latino,2186-2,83102,63820,35,22,42.12,34.47,3334634,0
Indiana,18,2014,White,2106-3,Not Hispanic or Latino,2186-2,84080,64076,38,29,45.20,45.26,3347411,2720820
Indiana,18,2015,White,2106-3,Not Hispanic or Latino,2186-2,84040,63472,46,37,54.74,58.29,3357815,0
Indiana,18,2016,White,2106-3,Not Hispanic or Latino,2186-2,83091,62528,50,39,60.17,62.37,3363491,2712509
Indiana,18,2017,White,2106-3,Not Hispanic or Latino,2186-2,82170,61050,40,30,48.68,49.14,3379723,2712102
Indiana,18,2018,White,2106-3,Not Hispanic or Latino,2186-2,81646,60060,23,17,28.17,28.31,3391576,2710703
Indiana,18,2019,White,2106-3,Not Hispanic or Latino,2186-2,80859,58801,33,27,40.81,45.92,3411859,2713014
Kansas,20,2013,White,2106-3,Not Hispanic or Latino,2186-2,38839,28281,15,10,38.62,35.36,1452009,1146863
Kentucky,21,2010,White,2106-3,Not Hispanic or Latino,2186-2,55784,46607,17,13,30.47,27.89,2204415,0
Kentucky,21,2013,White,2106-3,Not Hispanic or Latino,2186-2,55686,46612,19,18,34.12,38.62,2231899,0
Kentucky,21,2015,White,2106-3,Not Hispanic or Latino,2186-2,55971,46344,17,12,30.37,25.89,2245998,0
Kentucky,21,2016,White,2106-3,Not Hispanic or Latino,2186-2,55449,45587,29,22,52.30,48.26,2250421,1943890
Kentucky,21,2017,White,2106-3,Not Hispanic or Latino,2186-2,54752,44728,18,16,32.88,35.77,2259871,1944441
Kentucky,21,2018,White,2106-3,Not Hispanic or Latino,2186-2,53922,43838,29,23,53.78,52.47,2266891,1943695
Kentucky,21,2019,White,2106-3,Not Hispanic or Latino,2186-2,53069,42720,21,16,39.57,37.45,2266644,1941173
Louisiana,22,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,62642,23846,28,18,44.70,75.48,2349843,0
Louisiana,22,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,63201,24031,47,28,74.37,116.52,2361537,0
Louisiana,22,2013,White,2106-3,Not Hispanic or Latino,2186-2,63201,33583,47,16,74.37,47.64,2361537,0
Louisiana,22,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,64497,24222,40,27,62.02,111.47,2375737,0
Louisiana,22,2014,White,2106-3,Not Hispanic or Latino,2186-2,64497,34264,40,11,62.02,32.10,2375737,1416174
Louisiana,22,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,64692,24064,44,23,68.01,95.58,2386915,0
Louisiana,22,2015,White,2106-3,Not Hispanic or Latino,2186-2,64692,34047,44,16,68.01,46.99,2386915,0
Louisiana,22,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,63178,23428,56,35,88.64,149.39,2392296,803237
Louisiana,22,2016,White,2106-3,Not Hispanic or Latino,2186-2,63178,33267,56,18,88.64,54.11,2392296,1417028
Louisiana,22,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,61018,22797,41,20,67.19,87.73,2394887,805564
Louisiana,22,2017,White,2106-3,Not Hispanic or Latino,2186-2,61018,31835,41,19,67.19,59.68,2394887,1411908
