year,state,id,state_code,latitude,longitude,deaths,births,maternal_mortality_ratio,population,employer,non_group,medicaid,medicare,military,uninsured,air_pollution_val,cancer_death_val,cardio_death_val,child_pov_val,choles_check_val,dent_vis_val,dentists_val,diabetes_val,drug_deaths_val,health_stat_fem_val,immun_child_val,income_ineq_val,infant_mort_val,infect_dis_val,obesity_val,phys_inac_val,prem_death_val,smoking_val,uninsured_val,all_determs_val,all_outcomes_val,chlamydia_val,prem_death_ri_val,teen_birth_val,primary_care_val
2013,Colorado,US.CO,CO,39.550051,-105.782067,12.0,65007.0,18.46,2621921.0,58.8,9.9,10.0,1.5,3.0,16.7,6.7,163.0,197.2,14.8,74.7,65.3,68.1,7.4,14.7,57.0,71.7,4.56,5.7,-0.191,20.5,17.0,6112.0,17.7,14.7,0.39,0.175,433.7,1.5,28.9,117.9
2014,Colorado,US.CO,CO,39.550051,-105.782067,16.0,65830.0,24.31,2664707.0,59.0,10.4,14.3,1.4,2.8,12.1,6.8,163.0,197.1,14.0,76.4,65.3,68.6,6.5,14.8,57.7,69.2,4.51,5.1,-0.22,21.3,17.9,5991.0,17.7,14.4,0.35,0.223,422.7,1.4,25.4,120.7
2015,Colorado,US.CO,CO,39.550051,-105.782067,10.0,66581.0,15.02,2712811.0,58.9,10.5,16.8,1.7,2.7,9.3,7.0,162.2,196.2,17.2,76.4,67.0,68.7,7.3,15.8,57.1,72.8,4.47,4.8,0.097,21.3,16.4,5982.0,15.7,12.2,0.324,0.236,393.0,1.4,23.4,123.2
2016,Colorado,US.CO,CO,39.550051,-105.782067,16.0,66613.0,24.02,2754727.0,60.0,10.4,17.1,1.5,2.4,8.5,6.6,161.8,199.3,14.5,77.7,67.0,69.7,6.8,15.9,57.8,75.4,4.34,4.9,0.057,20.2,17.9,6095.0,15.6,9.2,0.373,0.18600000000000005,415.0,1.5,20.3,136.3
2017,Colorado,US.CO,CO,39.550051,-105.782067,18.0,64382.0,27.96,2784821.0,60.4,9.7,16.9,1.3,2.6,9.0,6.6,160.9,203.0,8.4,77.7,67.0,69.7,6.6,16.0,57.6,76.4,4.41,4.7,0.147,22.3,15.8,6113.0,15.6,7.8,0.406,0.218,445.4,1.5,19.4,139.9
2019,Colorado,US.CO,CO,39.550051,-105.782067,15.0,62869.0,23.86,2857388.0,63.5,9.2,14.0,1.3,2.5,9.5,6.7,163.1,207.2,11.9,86.0,67.6,70.1,7.0,16.6,54.9,71.0,4.39,4.7,0.087,22.9,16.4,6288.0,14.5,7.5,0.343,0.194,481.4,1.4,16.1,143.4
2011,Connecticut,US.CT,CT,41.60322100000001,-73.087749,14.0,37281.0,37.55,1835893.0,67.5,6.3,14.3,1.5,0.6,9.8,9.9,178.3,239.2,11.3,82.7,81.6,72.5,7.3,11.3,60.8,95.98,4.91,5.8,3.6,23.0,20.7,5768.0,13.2,11.1,0.758,0.252,344.7,1.5,22.9,164.0
2017,Connecticut,US.CT,CT,41.60322100000001,-73.087749,11.0,35221.0,31.23,1836384.0,64.5,7.7,18.8,1.9,0.7,6.3,8.6,173.7,218.4,16.3,83.3,77.8,76.1,9.8,18.4,56.2,75.7,4.9,5.2,-0.853,26.0,21.3,5771.0,13.3,5.5,0.564,0.135,364.9,1.3,10.2,209.4
2009,Florida,US.FL,FL,27.664827,-81.515754,71.0,221394.0,32.07,9534289.0,53.6,7.6,9.3,2.0,1.9,25.5,9.0,182.7,240.8,18.3,78.5,69.0,49.4,9.5,14.5,52.1,81.8,4.47,7.1,33.9,25.2,25.9,8137.0,17.5,20.1,-0.122,-0.071,315.5,1.3,45.2,107.5
2010,Florida,US.FL,FL,27.664827,-81.515754,47.0,214590.0,21.9,9611955.0,51.6,7.5,9.7,2.1,1.9,27.1,8.3,182.3,231.4,21.0,81.9,69.1,49.4,9.8,15.4,53.7,91.93,4.43,7.1,30.7,26.5,24.7,8078.0,17.1,21.2,-0.124,-0.069,387.5,1.3,45.5,108.0
